Product Link,Image URL,Category,Gender,Brand,Description,Ratings,Ratings Count,Price
https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-polo-collar-t-shirt/23053374/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23053374/2023/8/14/80458475-e9d2-4d84-a95a-9fd9ac3435461691991552388-The-Indian-Garage-Co-Cotton-Polyester-Regular-Fit-Placement--1.jpg",tshirts,M,The Indian Garage Co,Men Polo Collar T-shirt,4.2,6800,557
https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138200/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28138200/2024/8/14/02d73961-eb5d-4fba-94b6-918f434108931723609077112-Lux-Cozi-Polo-Collar-Lounge-Tshirts-4261723609076603-2.jpg",tshirts,M,Lux Cozi,Polo Collar Lounge Tshirts,4.2,4500,361
https://www.myntra.com/tshirts/the+bear+house/the-bear-house-men-white-overdyed-pure-cotton-polo-collar-slim-fit-t-shirt/16288300/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16288300/2021/12/16/412fcade-40ad-4f18-b8a2-3c8fd928834e1639658661282-THE-BEAR-HOUSE-Men-White-OverDyed-Pure-Cotton-Polo-Collar-Sl-1.jpg",tshirts,M,THE BEAR HOUSE,Men Pure Cotton T-shirt,4.4,618,1677
https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-printed-round-neck-short-sleeves-regular-fit-t-shirt/27441344/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27441344/2024/4/17/42b25ac4-fa42-4068-81eb-9f9e07e87e7b1713356711183-United-Colors-of-Benetton-Men-Printed-T-shirt-62617133567106-1.jpg",tshirts,M,United Colors of Benetton,Printed Regular Fit T-shirt,4.3,61,499
https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-round-neck-long-sleeves-pure-cotton-i693-lounge-t-shirt-/25781706/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25781706/2023/11/6/82c74334-31ef-46b1-9300-921d9409e7621699273913760USPoloAssnMenYellowStripedAppliqueT-shirt6.jpg",tshirts,M,U.S. Polo Assn.,Long Sleeves Cotton T-shirt,4.3,351,854
https://www.myntra.com/tshirts/raymond/raymond-polo-collar-t-shirt/26760098/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26760098/2024/8/13/0ef5ee52-53b2-4cb4-9509-ccf32d6d9a031723527424098-Raymond-Men-Tshirts-2041723527423610-1.jpg",tshirts,M,Raymond,Polo Collar T-shirt,4.4,1100,934
https://www.myntra.com/lounge-tshirts/van+heusen/van-heusen-women-anti-bacterial-round-neck-34th-sleeve-thermal-vest/21603924/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21603924/2023/2/9/bd9b335c-0c28-41d8-8851-025f02117cc31675920536880-Antibacterial-Thermal-Threefourth-Sleeved-Vest-5816759205363-1.jpg",tshirts,F,Van Heusen,Antibacterial Thermal T-Shirt,4.4,91,613
https://www.myntra.com/tshirts/fablestreet/fablestreet-solid-round-neck-t-shirt/23669418/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23669418/2024/8/10/f1ab48ec-a1ba-4557-90da-e38a9aa07fe11723280047374-FableStreet-Solid-Round-Neck-T-shirt-9201723280047290-6.jpg",tshirts,F,FableStreet,Solid Round Neck T-shirt,4.3,237,1356
https://www.myntra.com/lounge-tshirts/jockey/jockey-micro-modal-cotton-relaxed-fit-tshirt-with-curved-hem-styling-rx21/11862830/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11862830/2024/1/29/0602b630-dc26-4bf1-8675-610ea7de52061706528451703JockeyWomenBlackSolidLoungeT-shirt1.jpg",tshirts,F,Jockey,Relaxed Fit T-shirt,4.3,170,Rs. 779
https://www.myntra.com/tshirts/cult/cult-the-essential-active-round-neck-short-sleevest-shirt/27736074/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27736074/2024/2/21/ab95a5c6-ee4f-42f7-87ce-bce1db0c30b81708492664832TheEssentialActiveT-shirt1.jpg",tshirts,F,CULT,The Essential Active T-shirt,4.5,214,494
https://www.myntra.com/lounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-printed-pure-cotton-lounge-t-shirt/30135997/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30135997/2024/7/5/f6186589-c551-49fa-b217-05ff285919cf1720188371398LoungeTshirts1.jpg",tshirts,F,Dreamz by Pantaloons,Printed Lounge T-shirt,4.6,18,489
